client_id,age,job,marital,education,credit_default,mortgage,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date,cons_price_idx,euribor_three_months
0,56,housemaid,married,basic_4y,False,False,1,261,0,0,0,2022-05-13,93.994,4.857
1,57,services,married,high_school,False,False,1,149,0,0,0,2022-05-19,93.994,4.857
2,37,services,married,high_school,False,True,1,226,0,0,0,2022-05-23,93.994,4.857
3,40,admin_,married,basic_6y,False,False,1,151,0,0,0,2022-05-27,93.994,4.857
4,56,services,married,high_school,False,False,1,307,0,0,0,2022-05-03,93.994,4.857
5,45,services,married,basic_9y,False,False,1,198,0,0,0,2022-05-05,93.994,4.857
6,59,admin_,married,professional_course,False,False,1,139,0,0,0,2022-05-03,93.994,4.857
7,41,blue-collar,married,0,False,False,1,217,0,0,0,2022-05-12,93.994,4.857
8,24,technician,single,professional_course,False,True,1,380,0,0,0,2022-05-21,93.994,4.857
9,25,services,single,high_school,False,True,1,50,0,0,0,2022-05-05,93.994,4.857
10,41,blue-collar,married,0,False,False,1,55,0,0,0,2022-05-08,93.994,4.857
11,25,services,single,high_school,False,True,1,222,0,0,0,2022-05-09,93.994,4.857
12,29,blue-collar,single,high_school,False,False,1,137,0,0,0,2022-05-29,93.994,4.857
13,57,housemaid,divorced,basic_4y,False,True,1,293,0,0,0,2022-05-14,93.994,4.857
14,35,blue-collar,married,basic_6y,False,True,1,146,0,0,0,2022-05-29,93.994,4.857
15,54,retired,married,basic_9y,False,True,1,174,0,0,0,2022-05-29,93.994,4.857
16,35,blue-collar,married,basic_6y,False,True,1,312,0,0,0,2022-05-01,93.994,4.857
17,46,blue-collar,married,basic_6y,False,True,1,440,0,0,0,2022-05-09,93.994,4.857
18,50,blue-collar,married,basic_9y,False,True,1,353,0,0,0,2022-05-06,93.994,4.857
19,39,management,single,basic_9y,False,False,1,195,0,0,0,2022-05-02,93.994,4.857
20,30,unemployed,married,high_school,False,False,1,38,0,0,0,2022-05-02,93.994,4.857
21,55,blue-collar,married,basic_4y,False,True,1,262,0,0,0,2022-05-16,93.994,4.857
22,55,retired,single,high_school,False,True,1,342,0,0,0,2022-05-20,93.994,4.857
23,41,technician,single,high_school,False,True,1,181,0,0,0,2022-05-10,93.994,4.857
24,37,admin_,married,high_school,False,True,1,172,0,0,0,2022-05-02,93.994,4.857
25,35,technician,married,university_degree,False,False,1,99,0,0,0,2022-05-28,93.994,4.857
26,59,technician,married,0,False,True,1,93,0,0,0,2022-05-30,93.994,4.857
27,39,self-employed,married,basic_9y,False,False,1,233,0,0,0,2022-05-16,93.994,4.857
28,54,technician,single,university_degree,False,False,2,255,0,0,0,2022-05-01,93.994,4.857
29,55,unknown,married,university_degree,False,False,1,362,0,0,0,2022-05-22,93.994,4.857
30,46,admin_,married,0,False,False,1,348,0,0,0,2022-05-22,93.994,4.857
31,59,technician,married,0,False,True,1,386,0,0,0,2022-05-27,93.994,4.857
32,49,blue-collar,married,0,False,False,1,73,0,0,0,2022-05-25,93.994,4.857
33,54,management,married,basic_4y,False,True,1,230,0,0,0,2022-05-14,93.994,4.857
34,54,blue-collar,divorced,basic_4y,False,False,1,208,0,0,0,2022-05-25,93.994,4.857
35,55,unknown,married,basic_4y,False,True,1,336,0,0,0,2022-05-22,93.994,4.857
36,34,services,married,high_school,False,False,1,365,0,0,0,2022-05-11,93.994,4.857
37,52,technician,married,basic_9y,False,True,1,1666,0,0,0,2022-05-03,93.994,4.857
38,41,admin_,married,university_degree,False,True,1,577,0,0,0,2022-05-02,93.994,4.857
39,56,technician,married,basic_4y,False,True,1,137,0,0,0,2022-05-20,93.994,4.857
40,58,management,unknown,university_degree,False,True,1,366,0,0,0,2022-05-05,93.994,4.857
41,32,entrepreneur,married,high_school,False,True,1,314,0,0,0,2022-05-25,93.994,4.857
42,38,admin_,single,professional_course,False,False,1,160,0,0,0,2022-05-22,93.994,4.857
43,57,admin_,married,university_degree,False,False,1,212,0,0,0,2022-05-01,93.994,4.857
44,44,admin_,married,university_degree,False,True,1,188,0,0,0,2022-05-17,93.994,4.857
45,42,technician,single,professional_course,False,False,1,22,0,0,0,2022-05-28,93.994,4.857
46,57,admin_,married,university_degree,False,True,1,616,0,0,0,2022-05-15,93.994,4.857
47,40,blue-collar,married,basic_9y,False,False,1,178,0,0,0,2022-05-03,93.994,4.857
48,35,admin_,married,university_degree,False,True,1,355,0,0,0,2022-05-26,93.994,4.857
49,45,blue-collar,married,basic_9y,False,True,2,225,0,0,0,2022-05-26,93.994,4.857
50,54,admin_,married,high_school,False,False,1,160,0,0,0,2022-05-03,93.994,4.857
51,39,housemaid,married,basic_4y,False,False,1,266,0,0,0,2022-05-09,93.994,4.857
52,60,admin_,married,high_school,False,False,1,253,0,0,0,2022-05-11,93.994,4.857
53,53,admin_,single,professional_course,False,False,1,179,0,0,0,2022-05-13,93.994,4.857
54,55,blue-collar,married,basic_4y,False,False,2,269,0,0,0,2022-05-12,93.994,4.857
55,55,technician,married,professional_course,False,True,1,135,0,0,0,2022-05-08,93.994,4.857
56,50,management,married,university_degree,False,False,1,161,0,0,0,2022-05-17,93.994,4.857
57,45,services,married,high_school,False,True,1,787,0,0,0,2022-05-08,93.994,4.857
58,55,unemployed,married,professional_course,False,True,1,145,0,0,0,2022-05-08,93.994,4.857
59,25,technician,single,university_degree,False,True,1,174,0,0,0,2022-05-18,93.994,4.857
60,47,entrepreneur,married,university_degree,False,False,1,449,0,0,0,2022-05-03,93.994,4.857
61,51,blue-collar,married,basic_9y,False,True,1,812,0,0,0,2022-05-23,93.994,4.857
62,42,blue-collar,married,basic_6y,False,True,1,164,0,0,0,2022-05-27,93.994,4.857
63,42,blue-collar,married,basic_6y,False,False,1,366,0,0,0,2022-05-29,93.994,4.857
64,48,admin_,married,high_school,False,False,1,357,0,0,0,2022-05-19,93.994,4.857
65,37,admin_,married,university_degree,False,False,1,232,0,0,0,2022-05-15,93.994,4.857
66,44,blue-collar,single,basic_9y,False,True,1,91,0,0,0,2022-05-16,93.994,4.857
67,33,admin_,married,0,False,True,1,273,0,0,0,2022-05-21,93.994,4.857
68,56,admin_,married,basic_9y,False,True,2,158,0,0,0,2022-05-29,93.994,4.857
69,44,blue-collar,single,basic_4y,False,True,1,177,0,0,0,2022-05-04,93.994,4.857
70,41,management,married,basic_6y,False,False,1,200,0,0,0,2022-05-28,93.994,4.857
71,44,management,divorced,university_degree,False,True,1,172,0,0,0,2022-05-26,93.994,4.857
72,47,admin_,married,university_degree,False,True,1,176,0,0,0,2022-05-18,93.994,4.857
73,57,unknown,married,0,False,False,1,211,0,0,0,2022-05-14,93.994,4.857
74,37,admin_,married,university_degree,False,True,1,214,0,0,0,2022-05-26,93.994,4.857
75,41,blue-collar,divorced,basic_4y,False,True,1,1575,0,0,1,2022-05-20,93.994,4.857
76,55,technician,married,university_degree,False,False,1,349,0,0,0,2022-05-16,93.994,4.857
77,33,services,married,high_school,False,True,2,337,0,0,0,2022-05-28,93.994,4.857
78,55,management,married,0,False,True,1,272,0,0,0,2022-05-30,93.994,4.857
79,42,blue-collar,married,basic_9y,False,False,1,208,0,0,0,2022-05-21,93.994,4.857
80,50,blue-collar,married,basic_4y,False,True,1,193,0,0,0,2022-05-29,93.994,4.857
81,51,blue-collar,married,basic_4y,False,False,1,212,0,0,0,2022-05-29,93.994,4.857
82,38,admin_,married,high_school,False,False,2,165,0,0,0,2022-05-27,93.994,4.857
83,49,entrepreneur,married,university_degree,False,True,1,1042,0,0,1,2022-05-06,93.994,4.857
84,38,technician,single,university_degree,False,False,1,20,0,0,0,2022-05-23,93.994,4.857
85,31,admin_,divorced,high_school,False,False,1,246,0,0,0,2022-05-12,93.994,4.857
86,41,management,married,basic_6y,False,False,2,529,0,0,0,2022-05-23,93.994,4.857
87,39,admin_,married,university_degree,False,True,1,192,0,0,0,2022-05-21,93.994,4.857
88,49,technician,married,basic_9y,False,False,1,1467,0,0,1,2022-05-19,93.994,4.857
89,34,admin_,married,high_school,False,True,2,188,0,0,0,2022-05-17,93.994,4.857
90,35,admin_,married,university_degree,False,True,2,180,0,0,0,2022-05-29,93.994,4.857
91,57,unknown,married,0,False,True,1,48,0,0,0,2022-05-05,93.994,4.857
92,60,admin_,married,0,False,False,2,213,0,0,0,2022-05-02,93.994,4.857
93,33,unemployed,married,basic_9y,False,False,1,545,0,0,0,2022-05-27,93.994,4.857
94,42,blue-collar,married,basic_6y,False,False,1,583,0,0,0,2022-05-28,93.994,4.857
95,45,services,married,professional_course,False,True,1,221,0,0,0,2022-05-25,93.994,4.857
96,42,management,married,university_degree,False,False,1,426,0,0,0,2022-05-17,93.994,4.857
97,53,admin_,divorced,university_degree,False,False,1,287,0,0,0,2022-05-27,93.994,4.857
98,37,technician,single,professional_course,False,False,1,197,0,0,0,2022-05-30,93.994,4.857
99,44,blue-collar,married,basic_6y,False,False,1,257,0,0,0,2022-05-03,93.994,4.857
100,54,services,married,0,False,True,1,229,0,0,0,2022-05-25,93.994,4.857
101,49,blue-collar,married,basic_4y,False,False,3,55,0,0,0,2022-05-30,93.994,4.857
102,54,services,married,0,False,False,1,400,0,0,0,2022-05-27,93.994,4.857
103,52,admin_,divorced,university_degree,False,False,1,197,0,0,0,2022-05-19,93.994,4.857
104,52,admin_,divorced,university_degree,False,False,1,190,0,0,0,2022-05-24,93.994,4.857
105,43,services,single,high_school,False,False,1,21,0,0,0,2022-05-08,93.994,4.857
106,34,housemaid,married,basic_6y,False,True,2,300,0,0,0,2022-05-22,93.994,4.857
107,35,admin_,married,high_school,False,True,2,123,0,0,0,2022-05-09,93.994,4.857
108,42,entrepreneur,married,0,False,True,1,293,0,0,0,2022-05-15,93.994,4.857
109,43,technician,married,0,False,True,1,325,0,0,0,2022-05-09,93.994,4.857
110,60,retired,divorced,university_degree,False,False,1,514,0,0,0,2022-05-04,93.994,4.857
111,58,unemployed,married,basic_4y,False,False,2,849,0,0,0,2022-05-01,93.994,4.857
112,35,services,divorced,high_school,False,True,1,194,0,0,0,2022-05-25,93.994,4.857
113,55,blue-collar,married,basic_9y,False,True,2,212,0,0,0,2022-05-04,93.994,4.857
114,37,management,married,university_degree,False,False,2,337,0,0,0,2022-05-06,93.994,4.857
115,36,blue-collar,married,high_school,False,False,1,286,0,0,0,2022-05-20,93.994,4.857
116,52,admin_,divorced,university_degree,False,False,2,247,0,0,0,2022-05-31,93.994,4.857
117,57,blue-collar,divorced,0,False,True,1,518,0,0,0,2022-05-24,93.994,4.857
118,56,admin_,married,0,False,True,1,364,0,0,0,2022-05-06,93.994,4.857
119,48,blue-collar,divorced,basic_4y,False,True,1,178,0,0,0,2022-05-26,93.994,4.857
120,40,blue-collar,married,high_school,False,True,1,98,0,0,0,2022-05-21,93.994,4.857
121,49,blue-collar,divorced,high_school,False,False,1,439,0,0,0,2022-05-01,93.994,4.857
122,41,services,married,high_school,False,False,1,139,0,0,0,2022-05-18,93.994,4.857
123,45,technician,married,high_school,False,True,1,79,0,0,0,2022-05-09,93.994,4.857
124,32,admin_,married,university_degree,False,True,1,175,0,0,0,2022-05-26,93.994,4.857
125,42,admin_,married,university_degree,False,False,2,262,0,0,0,2022-05-21,93.994,4.857
126,50,admin_,married,basic_6y,False,False,1,61,0,0,0,2022-05-31,93.994,4.857
127,31,technician,divorced,professional_course,False,True,1,78,0,0,0,2022-05-24,93.994,4.857
128,56,retired,married,basic_4y,False,True,2,102,0,0,0,2022-05-23,93.994,4.857
129,41,technician,married,professional_course,False,True,1,579,0,0,1,2022-05-12,93.994,4.857
130,37,blue-collar,married,basic_6y,False,True,1,143,0,0,0,2022-05-29,93.994,4.857
131,41,technician,married,professional_course,False,False,1,677,0,0,0,2022-05-20,93.994,4.857
132,35,blue-collar,married,0,False,True,1,267,0,0,0,2022-05-22,93.994,4.857
133,37,blue-collar,married,basic_6y,False,True,1,345,0,0,0,2022-05-12,93.994,4.857
134,52,management,married,university_degree,False,False,1,185,0,0,0,2022-05-19,93.994,4.857
135,39,management,divorced,university_degree,False,False,1,207,0,0,0,2022-05-05,93.994,4.857
136,39,housemaid,married,basic_4y,False,False,2,69,0,0,0,2022-05-26,93.994,4.857
137,56,blue-collar,married,basic_4y,False,False,2,100,0,0,0,2022-05-19,93.994,4.857
138,34,services,married,high_school,False,True,2,125,0,0,0,2022-05-28,93.994,4.857
139,45,blue-collar,married,basic_9y,False,True,1,461,0,0,1,2022-05-27,93.994,4.857
140,43,unemployed,single,university_degree,False,True,1,240,0,0,0,2022-05-16,93.994,4.857
141,56,management,married,0,False,True,1,70,0,0,0,2022-05-22,93.994,4.857
142,39,management,married,university_degree,False,True,1,193,0,0,0,2022-05-24,93.994,4.857
143,53,blue-collar,married,basic_4y,False,True,1,136,0,0,0,2022-05-17,93.994,4.857
144,38,unknown,divorced,high_school,False,True,1,73,0,0,0,2022-05-24,93.994,4.857
145,42,blue-collar,married,basic_4y,False,True,1,528,0,0,0,2022-05-06,93.994,4.857
146,42,blue-collar,married,basic_4y,False,False,1,541,0,0,0,2022-05-11,93.994,4.857
147,35,admin_,single,high_school,False,True,1,338,0,0,0,2022-05-16,93.994,4.857
148,40,admin_,married,university_degree,False,True,1,163,0,0,0,2022-05-28,93.994,4.857
149,51,blue-collar,married,basic_4y,False,True,1,87,0,0,0,2022-05-25,93.994,4.857
150,60,blue-collar,married,basic_9y,False,False,1,301,0,0,0,2022-05-03,93.994,4.857
151,56,entrepreneur,married,0,False,True,1,46,0,0,0,2022-05-22,93.994,4.857
152,39,services,divorced,high_school,False,True,1,52,0,0,0,2022-05-08,93.994,4.857
153,56,entrepreneur,married,0,False,False,1,204,0,0,0,2022-05-03,93.994,4.857
154,40,blue-collar,married,0,False,True,1,155,0,0,0,2022-05-12,93.994,4.857
155,36,blue-collar,married,basic_9y,False,True,1,98,0,0,0,2022-05-15,93.994,4.857
156,51,blue-collar,married,0,False,True,1,71,0,0,0,2022-05-25,93.994,4.857
157,51,blue-collar,married,0,False,False,1,243,0,0,0,2022-05-29,93.994,4.857
158,43,technician,single,professional_course,False,True,2,186,0,0,0,2022-05-07,93.994,4.857
159,59,services,married,high_school,False,False,2,579,0,0,0,2022-05-27,93.994,4.857
160,24,management,single,university_degree,False,True,2,165,0,0,0,2022-05-03,93.994,4.857
161,37,blue-collar,single,basic_9y,False,True,2,163,0,0,0,2022-05-09,93.994,4.857
162,40,blue-collar,married,basic_9y,False,False,1,46,0,0,0,2022-05-29,93.994,4.857
163,42,blue-collar,married,basic_9y,False,False,3,559,0,0,0,2022-05-15,93.994,4.857
164,39,services,divorced,high_school,False,False,1,2033,0,0,0,2022-05-18,93.994,4.857
165,37,entrepreneur,married,basic_6y,False,False,1,85,0,0,0,2022-05-22,93.994,4.857
166,38,services,married,high_school,False,True,1,506,0,0,0,2022-05-04,93.994,4.857
167,56,admin_,divorced,0,False,False,2,114,0,0,0,2022-05-12,93.994,4.857
168,40,blue-collar,married,0,False,False,2,114,0,0,0,2022-05-19,93.994,4.857
169,54,management,divorced,university_degree,False,True,2,843,0,0,0,2022-05-25,93.994,4.857
170,43,blue-collar,married,high_school,False,False,1,181,0,0,0,2022-05-12,93.994,4.857
171,36,services,married,high_school,False,False,1,427,0,0,0,2022-05-05,93.994,4.857
172,45,technician,married,university_degree,False,True,1,292,0,0,0,2022-05-24,93.994,4.857
173,42,admin_,single,university_degree,False,False,1,192,0,0,0,2022-05-07,93.994,4.857
174,43,services,married,high_school,False,False,3,93,0,0,0,2022-05-02,93.994,4.857
175,46,management,married,basic_9y,False,False,2,128,0,0,0,2022-05-09,93.994,4.857
176,44,services,married,high_school,False,True,1,107,0,0,0,2022-05-29,93.994,4.857
177,51,admin_,single,basic_6y,False,False,2,303,0,0,0,2022-05-13,93.994,4.857
178,28,services,married,high_school,False,True,1,81,0,0,0,2022-05-11,93.994,4.857
179,37,blue-collar,married,basic_9y,False,False,1,270,0,0,0,2022-05-30,93.994,4.857
180,34,technician,married,high_school,False,False,1,228,0,0,0,2022-05-12,93.994,4.857
181,46,blue-collar,married,basic_6y,False,True,1,240,0,0,0,2022-05-31,93.994,4.857
182,42,blue-collar,married,basic_9y,False,True,2,673,0,0,1,2022-05-20,93.994,4.857
183,36,admin_,married,university_degree,False,True,3,233,0,0,0,2022-05-08,93.994,4.857
184,54,blue-collar,married,basic_4y,False,False,1,102,0,0,0,2022-05-13,93.994,4.857
185,57,management,married,university_degree,False,False,1,461,0,0,0,2022-05-19,93.994,4.857
186,51,technician,married,basic_6y,False,False,1,250,0,0,0,2022-05-20,93.994,4.857
187,54,retired,married,high_school,False,False,1,130,0,0,0,2022-05-03,93.994,4.857
188,49,blue-collar,married,basic_4y,False,False,1,252,0,0,0,2022-05-18,93.994,4.857
189,34,admin_,married,university_degree,False,True,1,138,0,0,0,2022-05-19,93.994,4.857
190,41,technician,married,professional_course,False,False,1,412,0,0,0,2022-05-10,93.994,4.857
191,38,blue-collar,single,basic_9y,False,True,2,179,0,0,0,2022-05-19,93.994,4.857
192,45,management,divorced,university_degree,False,False,2,19,0,0,0,2022-05-07,93.994,4.857
193,42,technician,married,university_degree,False,False,2,228,0,0,0,2022-05-26,93.994,4.857
194,34,blue-collar,single,basic_9y,False,True,1,55,0,0,0,2022-05-31,93.994,4.857
195,48,blue-collar,married,basic_4y,False,True,1,717,0,0,0,2022-05-06,93.994,4.857
196,37,admin_,married,high_school,False,True,1,313,0,0,0,2022-05-07,93.994,4.857
197,34,blue-collar,single,basic_9y,False,False,1,289,0,0,0,2022-05-29,93.994,4.857
198,40,admin_,married,basic_9y,False,True,2,683,0,0,0,2022-05-25,93.994,4.857
199,43,blue-collar,married,basic_6y,False,True,1,1077,0,0,0,2022-05-29,93.994,4.857
200,33,services,married,high_school,False,False,2,146,0,0,0,2022-05-09,93.994,4.857
201,32,services,single,basic_6y,False,False,1,167,0,0,0,2022-05-15,93.994,4.857
202,39,blue-collar,married,high_school,False,True,2,356,0,0,0,2022-05-20,93.994,4.857
203,43,admin_,married,0,False,False,1,277,0,0,0,2022-05-13,93.994,4.857
204,44,blue-collar,married,basic_9y,False,True,1,172,0,0,0,2022-05-09,93.994,4.857
205,35,student,single,university_degree,False,False,1,218,0,0,0,2022-05-10,93.994,4.857
206,35,student,single,university_degree,False,True,1,217,0,0,0,2022-05-04,93.994,4.857
207,35,unemployed,married,professional_course,False,False,1,67,0,0,0,2022-05-26,93.994,4.857
208,36,services,single,basic_4y,False,False,1,291,0,0,0,2022-05-08,93.994,4.857
209,35,student,single,university_degree,False,True,1,248,0,0,0,2022-05-24,93.994,4.857
210,36,student,single,basic_9y,False,True,1,256,0,0,0,2022-05-19,93.994,4.857
211,55,housemaid,divorced,university_degree,False,False,1,286,0,0,0,2022-05-25,93.994,4.857
212,59,admin_,married,university_degree,False,False,1,477,0,0,0,2022-05-31,93.994,4.857
213,57,retired,married,0,False,False,2,611,0,0,0,2022-05-05,93.994,4.857
214,39,blue-collar,married,professional_course,False,True,1,471,0,0,0,2022-05-14,93.994,4.857
215,39,housemaid,married,basic_4y,False,True,2,381,0,0,0,2022-05-22,93.994,4.857
216,30,blue-collar,single,0,False,True,1,251,0,0,0,2022-05-02,93.994,4.857
217,30,blue-collar,single,0,False,True,1,408,0,0,0,2022-05-20,93.994,4.857
218,50,housemaid,married,basic_4y,False,False,1,287,0,0,0,2022-05-29,93.994,4.857
219,40,services,married,high_school,False,False,3,322,0,0,0,2022-05-09,93.994,4.857
220,35,admin_,married,high_school,False,True,2,216,0,0,0,2022-05-20,93.994,4.857
221,43,technician,married,0,False,False,2,366,0,0,0,2022-05-26,93.994,4.857
222,36,services,single,basic_6y,False,True,1,210,0,0,0,2022-05-26,93.994,4.857
223,46,technician,married,basic_4y,False,True,1,288,0,0,0,2022-05-19,93.994,4.857
224,40,technician,married,basic_9y,False,False,1,168,0,0,0,2022-05-15,93.994,4.857
225,58,retired,married,university_degree,False,False,1,132,0,0,0,2022-05-17,93.994,4.857
226,42,technician,married,university_degree,False,False,2,64,0,0,0,2022-05-26,93.994,4.857
227,35,admin_,single,university_degree,False,False,2,209,0,0,0,2022-05-08,93.994,4.857
228,43,retired,married,basic_4y,False,False,3,410,0,0,0,2022-05-09,93.994,4.857
229,45,blue-collar,married,basic_4y,False,True,1,177,0,0,0,2022-05-19,93.994,4.857
230,39,admin_,married,professional_course,False,True,2,580,0,0,0,2022-05-06,93.994,4.857
231,50,services,divorced,professional_course,False,True,1,165,0,0,0,2022-05-23,93.994,4.857
232,32,management,divorced,basic_4y,False,True,2,127,0,0,0,2022-05-27,93.994,4.857
